"AKT1" "AKT2" "AKT3" "ARAF" "BAD" "BCL2A1" "BRAF" "CCNA1" "CCND1" "CD14" "CEBPA" "CEBPE" "CHUK" "CSF1R" "CSF2" "DUSP6" "EIF4EBP1" "FLT3" "GRB2" "HRAS" "IKBKB" "IL3" "ITGAM" "JUP" "KIT" "KRAS" "LEF1" "MAP2K1" "MAP2K2" "MAPK1" "MAPK3" "MPO" "MTOR" "MYC" "NFKB1" "NRAS" "PER2" "PIK3CA" "PIK3CB" "PIK3CD" "PIK3R1" "PIK3R2" "PIK3R3" "PIM1" "PIM2" "PML" "PPARD" "RAF1" "RARA" "RELA" "RPS6KB1" "RPS6KB2" "RUNX1" "RUNX1T1" "SOS1" "SOS2" "SPI1" "STAT3" "STAT5A" "STAT5B" "TCF7" "TCF7L1" "TCF7L2" "ZBTB16"
"Sample1" 8.83530557525573 7.62329308795578 5.66577212619608 10.8589357070999 8.50985581612195 11.9645825593976 8.32369722970086 6.27887709819909 5.15998331888185 7.68291342958383 7.80623887885194 5.35253532441489 9.44962476489566 7.65651029143508 6.00736373134023 11.1552776687209 10.5319737451797 9.63868405487279 10.8211748029734 9.64668286490427 8.15784298476531 4.02200721866192 9.4482373094868 9.356826131846 8.60710582746879 10.4453342282369 6.17766518529979 12.4387300618278 10.4078161137504 9.35549584145653 9.48333301201742 11.6517359242068 7.73111761540413 12.4666699892677 11.4931918948787 10.075734456716 9.02268325871776 8.85872592093122 7.64861852542069 8.90472409765936 10.037757548309 8.42053089704123 7.0338286769481 11.5588875442831 9.91163601172775 6.75147324411692 9.10643063114534 10.5219713733272 8.64139778062777 8.25091507189427 9.64966205505383 9.31745267249683 8.48272375231846 4.793470909378 6.1314592562792 8.44454013358362 6.66420952689557 9.36894999810243 10.2147432827553 8.38077157510442 5.8335102762033 7.02216664173558 9.20478263837929 7.6180800727257
"Sample2" 9.42796656327553 7.60035910918193 6.62563959433808 10.0163718380705 8.12663376572222 11.5112137416731 6.85452417210457 10.4367654988991 5.31972242112279 9.92308957619238 11.9258157858705 8.51857086197885 9.19891889390265 9.95708148054739 3.42706062305807 11.2319312632442 9.98739207073375 11.1079529381839 11.5755183208281 9.45492553150792 8.03987228085012 2.37507342533911 12.8226633044368 4.51168856282004 8.16473931637037 10.696074805973 5.69171221144963 11.456199414671 9.32284136936064 9.51585874186368 9.34010416114547 10.9657594961601 6.75884223128558 9.52866884662197 10.0987311669228 9.30747941756085 8.56660104034629 8.50634544412507 9.24375663652072 9.06737534209796 10.7676030072274 7.629340722057 4.56574983635752 9.91868637405518 7.9316392015464 7.41766363039395 8.49922083147217 11.0008387135424 7.62222602326402 8.63456261613947 9.85598679750817 8.34550477113144 7.96900524469429 3.57796555805758 6.82635858986007 9.38742581016731 9.35606004441921 10.1162917337891 10.1560185641874 7.64057971706493 5.66376935585806 4.92729262201449 7.68572659264991 6.93024392818139
"Sample3" 9.69888847625205 7.50993749342924 6.83541747474206 9.58835465180247 8.71954729207561 11.0832527924366 6.71185729051784 7.41916160089061 5.58594843189576 8.73351250621115 11.3857356310531 6.56834355724787 8.97868923668839 9.04628731365754 5.70741765944561 11.9298823271777 11.1718674796813 12.5118038653135 11.1671013924073 9.48478103041553 8.19445733573273 3.34338043209352 11.3081968509888 8.86423959584792 7.59364210117153 10.239059525828 7.4415655850919 11.6420910983895 8.30075975793875 8.94962926395281 10.017730722447 11.1091914113701 7.83824672391833 11.9451682945571 10.1105938813461 9.36760303900892 8.44152597226303 8.91532642908298 7.32690721338715 9.52293593500415 10.0855489671152 7.37093927316599 3.21806358470265 8.33621719013207 6.60530159077089 6.97523287789244 8.40517873018899 10.4389042608585 8.33398412315969 7.39729672852437 8.42480984468863 7.17509931726183 8.52151963162132 3.01077005491564 5.62096741669361 7.93436690969351 7.94017882154013 8.98126083760275 10.0469234729717 7.8685531731326 6.98241268105184 6.0565550656542 7.81689838475886 9.4571726072187
"Sample4" 8.81684728489019 7.35486451609448 5.66204753804289 9.73251634130049 8.305104443385 9.09215553636991 6.6331592180317 8.48442008379877 3.4151229778927 5.26765116654078 12.0240988268953 6.0258704361905 9.68679445747711 7.15110700868812 1.70714372817197 10.0128230603838 9.95041505655655 11.2999698995846 10.5504685016683 8.12325995704676 8.35538653447164 1.05483599200017 8.91182697712723 10.0011813914114 9.79285862374117 10.5071811475627 8.71171207799528 11.0010172907505 8.34598080741438 9.92727818088612 9.13531161752288 14.0548369842017 8.11302913231134 12.6994588555478 10.7427576494345 9.09868436911734 7.98486073745699 9.35955776567087 8.14010693474713 8.78214725417497 11.0509515679581 7.25993233392976 5.35956482586212 9.76386957564735 8.81855572638506 6.71622580002942 7.5315487614223 10.3849345055359 6.99985353119001 7.60224519519836 9.51955037536068 7.92714760982357 6.70827235656706 1.99374769825202 6.64176216912682 8.77018658956408 7.56106323853551 9.96674805829632 10.8583744575685 8.10330663872297 6.26494985205565 5.52525286681814 7.95938653925997 8.46832637081474
"Sample5" 9.61920822440022 7.99035304495439 6.37832416727488 10.1611217364611 8.41467055551164 11.3977915892437 8.49661752291088 9.67450353874103 3.9959454560243 5.2806064227239 10.8894585348994 7.68294173785361 8.97311119581968 8.23299805198148 7.23405170891512 11.4355408631652 9.57264820821898 10.5622286993254 10.5512833443628 8.90370253919978 7.73832426290021 3.51418045299916 11.7633146148998 10.2595546393505 8.96751604545727 12.3161522874247 7.45108756429297 11.9692368969497 9.00623327313821 8.8601934092422 9.18315300930187 12.5451721022274 8.04054819359367 10.1268879984249 11.5013269749486 9.88157420108477 8.58172219968857 10.0645390287635 9.48135764945286 9.36903328992914 11.7427481459346 7.98194375820112 7.25366294643007 11.1093263960942 8.949769576629 7.17146908881162 7.54594336251752 11.0491232953475 8.44831982758494 8.35796698066078 10.1528479688715 8.2768784950822 8.71957170241995 4.51274691812102 6.27919324156716 9.6076686196811 8.78541475336827 10.7623105115539 11.5000224470477 8.48350980693835 7.49031655678155 3.60390299500154 9.48529594003849 11.1345990084755
"Sample6" 10.0580214854181 7.47641478978948 5.71036208529797 9.92177412744522 7.98999372903346 12.355635506047 7.35399761732381 8.45629231887491 2.95291042391673 7.44508169315375 10.73190769845 7.36531836296586 8.26340165358947 6.36505571318298 4.77921914149064 12.7411877571478 10.5748150939642 12.1157670972408 10.2543790693817 8.49192866282777 7.99208355842734 1.33275023314665 9.6411575090458 8.76599113608304 7.46907455977999 10.3011509397701 6.22154764814029 9.83839733704806 8.91431003470612 9.50475507373148 9.95945530133178 11.7132735984789 8.08857614337174 11.4002024018937 9.76199142482803 9.57957184657219 8.08444301587414 8.30883525021729 9.3115105723757 8.31458730028072 10.7160517152963 7.912228897478 4.49537049213795 10.3162542102027 9.0858272996269 7.2895728596221 7.22840262678991 10.081009116773 7.38213507377199 8.13524532321963 8.71102222507363 7.84719197330104 8.86899272691179 2.10739553566147 8.23012753836456 7.76750458540344 8.00992092947172 9.58824899446627 11.1430132684741 8.25274173629961 6.67204865603316 5.73917509851237 7.90265136584018 10.0410954005167
"Sample7" 10.0298416165176 7.88141551976882 5.91834262040779 9.76413298653427 8.00286958369508 11.445035157727 7.58720400968969 7.25821497462814 4.92434699666619 9.05356362718578 11.1439801762077 8.95323917006577 8.31742983283798 9.44678991629971 5.20114669027027 9.44934700375782 10.5835105041283 10.9720351436033 11.1409744183638 8.86037769812124 7.87081767478693 1.92765039353793 11.5825617829998 8.48482086688789 10.311711042686 10.7522784206896 5.93285754079857 10.5070143481781 8.97114367325474 9.5533182947023 9.80036957431491 13.9792159388225 7.50086464568451 10.6941077722489 10.6975802148363 9.63067665363426 8.25739535708507 9.13688727195563 8.78853763576941 9.06876867564469 11.0711738005248 8.45015322719105 6.14344650882314 11.1615358590142 8.87738147248911 7.53563206208973 7.62558518603362 10.8556758638233 7.65666086598578 8.74503647606198 9.3552878665972 7.98343082603366 8.51167163995448 5.15614961170972 7.51846999777591 9.19038294709443 9.56517672677303 10.5541563227023 11.2533498164676 8.50326246451341 7.84290734883669 5.38615558398635 8.80179570737656 9.64322438129318
"Sample8" 9.87313910594535 7.69005875402279 6.9259431147936 9.77379769409482 7.7855170874935 9.96829012482494 6.36956969105275 2.47447049030065 7.99135543070171 9.259862594011 9.42574930653327 6.85410571962213 9.00506505672038 11.028336683646 3.32988317731561 10.7221708485324 10.2334419714712 11.714420178223 10.2853380133823 8.92857683826434 8.80303206421826 0.969651534879642 10.0192830353485 10.1762524227084 8.23185947111865 10.7877660108937 6.22260475718582 10.2410233161708 9.2350200962304 9.38747145888559 9.72731780173281 9.86594306455327 8.46247828698392 10.6622153067155 10.5994777499769 8.79339087026883 7.95377442338917 10.1804305664169 6.66463418271481 9.14752688476607 10.2320516197489 7.98778350034918 5.24757714534427 9.50590887393853 8.26485306428209 7.16246640797532 8.53490025525308 10.6920179478029 8.40600799524192 7.98518834467423 9.4389662003357 8.28472690780525 8.79080484385085 3.19149609873879 7.53279204079599 8.15975824813794 8.77542808170904 9.56028221277383 11.1314255094533 8.78042520620194 7.57428293183252 2.51561042030813 9.17560944342354 6.77092990423335
"Sample9" 9.22319330861783 7.69162056364137 6.07024311360818 9.88584967357851 8.49773744209876 9.22158714192529 8.33937527469319 9.36263191966695 4.85616635777225 2.36309756372667 9.24138373716243 7.27196304469059 9.51829147022511 6.91350280361796 2.25584274440644 9.72030304624039 10.4233976020148 10.2640158424185 9.69524671340895 9.16764780866955 8.38829648341536 1.14911016853285 8.14952582631684 6.51971177431273 9.20290867967354 10.474968661434 6.78530137890128 9.722022718079 9.008613885421 9.54511372864286 9.83557222026852 8.38106798009664 8.15280445969015 11.3732953796154 9.26018016343161 10.1601807681093 7.82551200975391 8.86719154388394 7.90550496513647 8.40130646699288 9.165651819158 8.860867310099 4.34294872135677 11.7232343157249 10.6419409055163 6.78741028661056 9.16255973102792 11.2637347917147 7.66593828825648 8.61753317938422 10.1928356326136 8.20326342724334 7.51972289491545 3.6232331108728 7.99517041020389 8.56406456523455 7.12010903359211 9.77981421377731 10.8216325850029 8.543113840874 7.73661283042348 5.21425395664184 6.40190027175094 8.36534755748988
"Sample10" 9.81575116070978 7.78986237143486 5.36877815392626 10.494767334344 8.30392180288258 10.9102122815904 7.92662509712269 8.62747359290618 3.70545510465358 12.1109274983715 10.831686022931 7.21499295630368 9.25256929994083 9.1987439540658 2.99686875856546 11.5892488491638 9.95993734377963 10.5809207588318 11.3545302533206 9.1661010803824 8.21458077557144 3.24077079747636 12.7046862258175 6.57684092884815 2.10286132498519 10.423794329587 6.8651251483413 11.060564339302 9.85636916279634 9.94845169342654 9.47924981611312 11.1305877564038 8.59278152198192 9.92729072112264 10.4837535433752 9.3751119005747 8.11017368955159 8.28967790139689 7.3756245003715 9.59294939497091 9.16523481714719 8.65589360621513 6.52230127943662 10.0341273234983 8.84725715148896 7.30933068415332 8.64278844618022 10.4539905125631 7.50030218972339 7.7880721765039 9.21588030815078 8.72652994181775 7.57449156585364 3.2890122516442 7.97280412174321 8.68549859638377 8.50836640011243 9.59520230180737 9.95811194907712 8.42608975564053 6.76012703111685 5.44436547737302 7.07043525047424 4.97507562801078
