"AKT1" "AKT2" "AKT3" "APC" "APC2" "ARAF" "AXIN1" "AXIN2" "BRAF" "BRCA1" "BRCA2" "CCND1" "CDK4" "CDK6" "CDKN1A" "CSNK1A1" "CSNK1A1L" "CTNNB1" "DLL1" "DLL3" "DLL4" "DVL1" "DVL2" "DVL3" "E2F1" "E2F2" "E2F3" "EGF" "EGFR" "ERBB2" "ESR1" "ESR2" "FGF1" "FGF10" "FGF11" "FGF12" "FGF13" "FGF14" "FGF17" "FGF18" "FGF19" "FGF2" "FGF21" "FGF23" "FGF3" "FGF4" "FGF5" "FGF7" "FGF8" "FGF9" "FGFR1" "FLT4" "FOS" "FRAT1" "FRAT2" "FZD1" "FZD10" "FZD2" "FZD3" "FZD4" "FZD5" "FZD6" "FZD7" "FZD8" "FZD9" "GRB2" "GSK3B" "HES1" "HES5" "HEY1" "HEY2" "HEYL" "HRAS" "IGF1" "IGF1R" "JAG1" "JAG2" "JUN" "KIT" "KRAS" "LEF1" "LRP5" "LRP6" "MAP2K1" "MAP2K2" "MAPK1" "MAPK3" "MYC" "NCOA1" "NCOA3" "NFKB2" "NOTCH1" "NOTCH2" "NOTCH3" "NOTCH4" "NRAS" "PGR" "PIK3CA" "PIK3CB" "PIK3CD" "PIK3R1" "PIK3R2" "PIK3R3" "PTEN" "RAF1" "RB1" "RPS6KB1" "RPS6KB2" "SHC1" "SHC2" "SHC3" "SHC4" "SOS1" "SOS2" "SP1" "TCF7" "TCF7L1" "TCF7L2" "TNFSF11" "TP53" "WNT1" "WNT10A" "WNT10B" "WNT11" "WNT16" "WNT2" "WNT2B" "WNT3" "WNT3A" "WNT4" "WNT5A" "WNT5B" "WNT6" "WNT7A" "WNT7B" "WNT8A" "WNT8B" "WNT9A" "WNT9B"
"TCGA-A1-A0SD" -1.102375 -1.22235714285714 -0.473833333333333 0.86225 -0.2165 -1.12475 -1.1455 0.0878 0.2305 -1.66108333333333 -0.57075 1.88725 -0.75 -2.6885 0.274714285714286 0.3747 0.256166666666667 -0.2701875 0.628375 -0.699875 1.2275 -0.554833333333333 -1.059 -0.494333333333333 -1.4535 -1.381375 -0.3383 0.222875 -2.0293 1.799 3.08425 0.444 2.8882 6.2085 -0.159833333333333 1.3784375 2.523 1.08425 0.14525 1.67127272727273 -2.15666666666667 -2.67225 -0.01725 -1.32875 0.3625 -0.10625 -1.957375 2.575625 -0.5785 -0.5795 1.79422727272727 0.295666666666667 -0.28175 -0.092 -0.11375 1.9887 1.6235 -0.865166666666667 -0.7445 1.24241666666667 -1.20390909090909 0.861875 1.79066666666667 -0.3171 -1.83516666666667 -0.4726 -0.812833333333333 0.537 2.498 -0.857166666666667 0.6166 3.31483333333333 0.068 3.6251875 0.2889375 1.09016666666667 -0.12775 -0.89 1.201 -0.17075 -2.0337 -0.779333333333333 0.2571 -0.443875 -0.92 -1.17975 0.139833333333333 -2.6726875 1.52916666666667 -1.33933333333333 -0.47125 -1.54616666666667 0.8695 1.29233333333333 1.767 -1.91125 -1.276 0.4565 0.04275 -0.306714285714286 0.755642857142857 -0.337 0.5113 1.36135714285714 -0.85 -0.4054 -0.997416666666667 -1.54525 -0.4285 1.4923 -0.502833333333333 4.3295 -0.3205 0.921166666666667 0.3705 -2.06375 -0.773875 1.25742857142857 2.0195 -1.01066666666667 0.2372 -0.963875 -2.31225 0.1207 0.743666666666667 4.876375 1.5545 0.326 0.1963 4.22475 -0.4955 -0.86725 -1.07571428571429 0.019 1.4383 0.2765 0.073 -0.029 0.20775
"TCGA-A1-A0SE" -0.24375 -0.5925714286 1.5186666667 0.78725 -0.0943 -0.30675 0.017 -0.4257 0.56 -1.3879166667 -1.3405 1.023 -0.6769 -2.4747 0.1255714286 0.04315 0.6401666667 0.99 1.06825 -1.8395 2.66775 -0.3998333333 -0.9175 0.2114166667 -1.3525 -0.989125 -0.7041 2.030625 -0.4754 2.52125 2.386 0.3839 2.5527 1.08675 0.0643333333 -0.8509375 1.648125 1.06025 -0.05175 2.0056363636 0.80725 -0.04025 0.358 -1.40675 0.47875 -0.42475 -2.251875 2.211 0.5035 -1.65525 0.0640909091 0.6751666667 0.12375 0.6078333333 0.577 1.7455 -1.0218333333 -1.0351666667 0.8799 0.3720833333 -2.0381818182 0.52575 1.9506666667 0.2473 -2.0851666667 0.4655 0.3541666667 0.8835 1.441 -1.5553333333 0.3012 3.1968333333 -0.062 4.2996875 1.1045 0.4658333333 1.1465 0.9011666667 4.1306666667 0.4045 -1.7357 -0.1263333333 0.3698 -0.54125 -0.1206666667 -0.4125 0.0068333333 -0.7523125 1.1238333333 -1.10425 0.276 -0.2433333333 0.49 1.7301666667 2.162125 -2.0595 3.4165 0.275 -0.3285 0.1031428571 2.1569285714 -0.136625 0.6009 0.4283571429 -0.242 -0.5186 -1.1749166667 -1.16 0.200875 0.6638 -1.031 -1.508125 0.2785 0.8298333333 0.8545 -2.2925 1.621 1.7049285714 2.8435 -0.3385 0.2653 0.00625 -2.36225 -0.2682 -0.0856666667 4.37475 0.6813333333 0.314 0.1753 3.383125 -0.2696 0.1085 0.195 0.0861666667 1.0567 0.19 -0.1515 -0.0885 0.03925
"TCGA-A1-A0SH" 0.018625 -0.1766428571 0.1483333333 0.686 -0.3215 0.1805 -0.313375 -0.573 -0.10225 -1.9248333333 -1.541 -0.5033333333 -0.4889 -2.1441 0.2819285714 0.0381 0.121 0.8985 0.97075 -1.4545 2.00225 -0.5885 -0.8438333333 0.8611666667 -1.85325 -1.750875 -0.6308 1.294375 -0.883 3.41075 0.79125 0.1021 3.65905 2.5865 -0.0735 0.1989375 1.410125 0.98925 -0.71025 2.0918181818 -1.50375 -1.1235 0.40625 -1.00975 0.615 -0.319625 -1.500625 2.92625 -0.048 -0.59075 0.3998636364 0.2111666667 -0.8715 0.8648333333 0.2245 2.5402 -1.0748333333 -0.3175 0.1074 0.77875 -1.7998181818 -0.282125 2.1906666667 -0.442 -1.9668333333 0.349 0.0698333333 0.8136 1.17 -1.4493333333 1.4078 3.0958333333 -0.1678333333 4.2813125 -0.2055 1.2201666667 0.429 -0.001 2.2111666667 0.1853333333 -1.1171 -1.1381666667 -0.3299 -0.39 -0.0903333333 -0.39725 -0.0308333333 -1.9891875 1.5483333333 -1.88275 0.0215 -0.7191666667 1.06075 1.5251666667 1.878125 -1.22825 2.774 0.57175 0.3215 0.5825714286 1.3605714286 0.150375 1.0128 1.3056428571 -0.25375 -0.6128 -0.9448333333 -0.79375 -0.13675 1.5393 -1.4155 -0.218 0.18325 0.7618333333 0.76525 -2.259125 0.614875 1.9134285714 5.03575 -0.5445 0.3187 0.2775 -1.75025 0.6604 0.2413333333 5.931125 1.863 0.1233333333 0.2981 3.915125 0.5362 0.944 -0.1843571429 0.2061666667 1.362 -0.31125 0.217 0.122 -0.061375
"TCGA-A1-A0SJ" -0.157 -0.3104286 -0.1876667 0.652 -0.0808 -0.59775 -0.6265 0.774 -0.0855 -1.65625 -0.40475 1.657583 0.2738 -3.0141 0.09885714 0.9294 0.7051667 0.85325 0.861375 -0.086375 3.04425 -0.7251667 -0.3573333 0.06183333 -1.658 -1.10575 -0.7483 0.318125 -0.9467 2.60075 2.495417 0.5708 1.876 1.921 -0.3223333 0.914125 2.060375 0.83675 -0.56525 3.218091 -2.392 0.34375 0.1315 -1.0685 0.07225 -0.53575 -1.46475 2.525375 0.1325 0.0775 -0.5381364 0.503 2.094125 -0.0255 -0.38825 0.6727 -2.4795 -1.622833 2.5753 1.884667 -0.8004091 1.40525 0.875 -0.4446 -0.4001667 0.02285 -0.4578333 1.3146 0.35225 -0.5895 1.3973 3.257 0.5116667 4.213813 0.577875 1.126167 0.31225 1.351167 0.8871667 0.4285 -2.2549 -1.170167 1.4835 -0.269625 -0.7811667 -0.4435 0.7845 -0.9730625 1.091333 -0.3338333 -0.32775 -0.3128333 -0.00425 1.6455 2.08025 -1.319 2.320833 0.8905 -0.11425 -0.08728571 1.631714 -1.065875 0.8226 0.8096429 -0.08575 -0.0789 -0.1480833 -1.56125 -0.509875 0.3655 -1.389667 0.0395 0.61975 0.793 -0.442375 -2.28025 -0.150125 0.948 2.09475 -0.8001667 0.2833 -0.021375 -2.5535 2.131 -0.2018333 3.4085 0.1448333 0.8506667 0.1336 4.417625 -1.0395 -1.3485 -0.2471429 0.2805 1.5404 0.0615 0.095 0.041 0.030625
"TCGA-A2-A04N" -1.3855 -1.4416428571 0.2915 0.71325 -1.0313 -1.83775 -0.861125 -0.883 0.89425 -1.3965833333 -1.0525 -1.0363333333 -0.9307 -2.1939 -0.2853571429 0.57485 1.0411666667 -1.140875 0.949375 -1.691875 0.58925 -1.169 -0.9673333333 -0.5675833333 -2.1455 -1.398 -0.1999 0.78875 -1.5908 1.75425 4.1155833333 -0.0811 3.36545 2.2305 -0.2053333333 0.0969375 -0.576 -0.134 -0.04825 1.7876363636 -1.84975 -1.67475 0.02475 -3.393 -0.0855 -0.230875 -2.3151428571 2.83075 0.1475 -1.3675 -0.9922272727 -0.056 1.646 -0.1633333333 0.4365 1.7773 -0.7041666667 -0.815 1.0818 0.31175 -2.1092272727 2.421 0.788 2.1268 -2.32 -0.3315 -0.5995 0.2364 2.113 -1.9106666667 0.2986 2.0648333333 -1.4905 3.8845 0.4165 0.6811666667 -1.09475 1.5451666667 2.1008333333 0.097 -1.3632 -1.0626666667 0.5862 -0.464875 -2.4011666667 -0.847875 -1.1615 -1.4374375 1.4638333333 -0.7766666667 -1.49325 -1.2813333333 1.15925 1.142 1.050375 -1.463875 4.5686666667 1.022 0.2975 -0.332 1.3882142857 -0.642 2.9546 1.2074285714 -0.77625 -0.7103 -0.8974166667 -2.185 -1.015875 -0.4436 -1.4171666667 -1.050625 0.00925 1.2736666667 1.4705 -2.749 1.998875 0.8937857143 2.92575 -1.0343333333 0.3855 -0.499875 -2.3405 -0.3677 0.4851666667 6.349375 1.6616666667 0.7741666667 0.1928 3.188375 -0.2177 -0.65325 -1.8525 -0.3071666667 0.5842 -0.13525 -0.5315 -0.31975 -0.0425
"TCGA-A2-A04V" -0.000625000000000004 -0.599214285714286 1.40033333333333 0.3975 -0.5321 -1.0115 0.380875 -0.1978 1.065 -1.82566666666667 -0.71625 3.11925 -0.9494 -2.2516 -1.36742857142857 0.54555 0.4465 -0.2931875 0.859 -2.108375 2.69175 0.408166666666667 -0.9535 0.665833333333333 -1.68425 -0.77975 -0.1958 -2.99725 -2.3862 2.760125 4.07166666666667 0.424333333333333 2.402 2.4615 -0.160666666666667 -1.237625 -1.015875 0.738 0.04925 0.733272727272727 -2.73125 -2.409 0.06325 -1.85775 0.22875 -0.851625 -1.38571428571429 2.111 -0.042 -1.67875 0.106227272727273 0.572166666666667 0.834125 0.538166666666667 0.9185 1.2157 -1.85216666666667 -0.134666666666667 0.9023 0.902 -0.822227272727273 0.8755 1.968 1.2991 -2.319 1.546 -0.251166666666667 -1.6882 1.279 -2.49833333333333 3.1585 3.3455 0.172666666666667 2.5265625 1.79825 0.294 0.2655 1.60733333333333 0.0555 -0.136166666666667 -2.1132 0.108166666666667 1.5641 -0.639625 0.0686666666666667 -1.573125 0.0483333333333333 -0.9854375 1.63033333333333 -0.0606666666666667 1.18775 -0.699166666666667 0.533 2.14 2.219375 -1.243875 -0.665166666666667 0.56125 -0.3665 -0.418928571428571 0.689071428571429 -0.03 1.2856 0.7145 0.123 -0.3582 -0.467 -1.05875 -0.1635 1.3579 -1.50866666666667 -2.30525 0.1215 1.509 0.81525 -2.5325 2.633125 1.6015 2.56125 -0.4085 0.4973 -0.71475 -1.11075 0.5563 0.572833333333333 4.20285714285714 -0.142666666666667 1.68816666666667 -0.016 4.55025 -2.3818 -1.49825 -0.692071428571429 0.4905 0.6253 -0.28875 -0.967 -0.3285 0.12825
"TCGA-A2-A04Y" -0.045875 0.115 -0.8233333 -0.60575 1.1881 -1.428 0.046 -2.0577 -0.513 -1.1105 0.1125 1.074083 -0.7621 -2.4022 1.074071 0.2369 0.5466667 -0.541 1.509 -1.207375 1.84275 0.9381667 -1.143333 -0.403 -1.02475 -1.03375 -0.3508 1.733125 -2.4509 2.790125 3.012667 0.2342 1.03865 1.1215 -0.05483333 -0.39125 -1.776 0.02975 -0.47725 1.081909 -2.8615 -1.85575 0.20375 -1.8825 0.76575 -0.570625 -1.809625 1.662375 -0.173 -1.4275 -1.385818 0.6433333 1.600875 1.016667 0.401 0.2763 -2.574667 -1.087 0.7814 -0.04108333 -1.591591 2.88675 -0.4415 -0.8301 -1.918667 0.365 -0.5113333 1.9753 1.66225 -2.701 -0.5928 2.8835 1.045167 2.893187 0.3825 -0.3208333 1.01875 2.67 1.102667 -0.1209167 -2.346 -0.6181667 0.8364 -0.823 -0.0865 -1.407 -0.3265 -1.404313 1.609167 -0.6943333 0.20525 -0.3803333 0.02575 1.373333 1.8775 -1.789875 0.7188333 -0.08475 -0.46725 0.07071429 1.069357 0.807125 1.2654 -0.03492857 -0.01225 -0.2858 -0.5319167 -1.63075 -0.2365 -0.1277 -1.312 -1.968 -0.12875 0.6788333 0.6365 -2.71175 1.691625 1.674714 0.147 -1.3145 0.1711 0.33425 -1.93775 -0.1555 -0.1591667 3.937875 -0.1455 0.414 1.655 2.895875 -3.0753 -1.9345 0.2029286 -0.09533333 1.9084 0.0305 -0.077 -0.073 0.22825
"TCGA-A2-A0CP" -0.968375 -0.8465 0.465833333333333 0.407125 -0.2887 -2.03975 0.093 -0.6785 0.2325 -2.62763636363636 -1.65375 -0.101333333333333 -0.9795 -2.2339 0.130857142857143 0.6608 0.779833333333333 0.203625 1.086125 -2.40571428571429 2.3215 -0.3805 -0.610166666666667 -0.113 -2.67075 -1.884125 -0.4019 0.32125 -0.8663 1.9525 2.85416666666667 0.2504 3.08965 1.17825 0.00716666666666668 -0.685875 0.3125 1.2355 -0.0665 1.70490909090909 -2.678 0.3115 0.0345 -1.81466666666667 0.526 -0.5135 -1.688625 2.59425 -0.2915 -1.9465 0.0395454545454544 0.374 1.79825 -0.340666666666667 0.16725 1.9542 -0.4645 -0.381166666666667 0.9093 0.29175 -2.12345454545455 1.396875 1.957 1.4181 -2.3955 -0.2398 -0.261 0.2672 2.03275 -1.1905 0.3282 3.1485 0.153166666666667 4.2860625 0.8335 1.06766666666667 0.495 2.5925 3.16216666666667 0.615416666666667 -1.4513 -1.01516666666667 1.181 -0.810375 -0.810666666666667 -1.428625 -0.673666666666667 -1.639875 1.63683333333333 -0.592166666666667 -0.559 -0.627666666666667 0.7755 1.42266666666667 2.12175 -1.529625 3.84433333333333 0.5675 -0.57925 -0.420357142857143 1.92385714285714 -0.21 2.6102 0.934642857142857 -0.39725 -0.5936 -1.10475 -2.43475 -0.52775 0.7661 -0.2505 0.22375 -0.22775 1.0205 0.8785 -2.090125 3.29575 1.64178571428571 2.9765 -0.662166666666667 0.29 0.015 -2.7275 -0.1677 -0.368166666666667 4.913625 0.605166666666667 1.1725 -0.0558 3.55275 -0.6471 -0.0635 -0.152928571428571 -0.0143333333333333 0.5837 -0.4935 0.194 0.085 0.348625
"TCGA-A2-A0CQ" -0.25425 -0.5467857143 -1.174 -0.358125 0.0302 -1.4275 0.545 -0.1578 0.323 -1.35975 -0.645 0.937 -1.0025 -3.5089 -0.155 0.2254 0.5433333333 0.174625 0.76925 -1.669 2.25775 -0.1148333333 -0.7636666667 -0.1005 -2.29025 -1.417875 -0.9708 3.002875 -3.3975 2.52475 4.3583333333 -0.5631 1.70455 5.45225 -0.2613333333 -0.27525 0.925 -0.148 -0.629 0.0497272727 -2.37075 -1.43475 0.20375 -1.55875 0.629 -0.576 -2.0608571429 0.838375 -1.1415 -2.93475 -1.5112727273 0.457 2.80975 0.3073333333 -0.12525 1.7142 -0.5203333333 -0.8333333333 0.4263 -1.05225 -2.6159545455 0.325125 1.3545 -0.5132 -2.5443333333 -0.0407 -0.2316666667 1.5634 1.729 -1.9225 -0.5792 3.1235 0.283 1.9954375 0.6455 0.2678333333 -0.601 2.6266666667 -1.225 0.1740833333 -1.8934 -0.9276666667 1.3629 -0.953 0.0025 -1.57125 -0.1503333333 -2.5476875 1.5806666667 -1.4516666667 0.6915 -0.309 0.44125 1.9498333333 1.889375 -2.366 3.3051666667 -0.3535 -0.8095 -0.0462142857 2.2273571429 0.138875 2.5751 0.643 -0.3345 -0.559 -0.7525833333 -1.967 0.464125 1.4185 0.2733333333 -3.14475 -0.157 0.8545 1.047625 -2.216625 -0.8305 1.7355714286 -0.31975 -0.4283333333 0.3321 -1.041375 -2.566625 -0.7339 0.1835 2.737875 -0.397 2.5811666667 0.1 3.537875 -1.8012 -1.97125 -0.2287142857 0.1601666667 1.9252 -0.19425 0.076 -0.2175 0.3195
"TCGA-A2-A0CS" -0.4975 -0.674928571428571 -0.263833333333333 0.647 -0.8885 -0.49225 -0.51125 0.00760000000000001 0.1295 -1.73916666666667 -0.5475 0.00416666666666667 -0.0786 -2.8514 0.3765 0.5163 1.06116666666667 -0.53275 0.308875 -1.78225 1.29825 -1.71283333333333 -0.3215 -0.0873333333333333 -2.3315 -2.176375 -0.5436 2.623375 -2.5375 2.133125 4.52125 0.0772 2.79355 2.134 -0.0588333333333333 -0.0251875 1.2485 2.7245 0.095 1.79572727272727 -2.47275 -2.5165 0.238 -1.318 -0.1615 -0.229875 -1.56525 1.80725 0.357 -3.20625 -0.340818181818182 0.0986666666666667 -0.003875 0.922 0.018 2.4033 -1.13333333333333 0.744 1.9229 0.324166666666667 -2.05436363636364 1.956 0.502333333333333 -0.2982 -2.4675 0.2402 0.4335 1.8439 2.67825 -2.84183333333333 0.7542 2.25683333333333 -0.3305 2.1144375 0.614875 0.6985 -0.266 1.78916666666667 0.809166666666667 0.55975 -1.7985 -0.650166666666667 1.2442 -0.79075 -1.30733333333333 -0.479875 -0.0155 -2.3519375 2.07983333333333 -0.411333333333333 0.0195 -0.979666666666667 0.606 1.86033333333333 1.127875 -1.92425 3.33133333333333 0.492 0.26025 -0.770214285714286 2.10407142857143 -0.211125 1.6174 -0.145 -0.2805 -0.7197 -0.925833333333334 -1.5525 -0.295125 1.9258 -0.8635 -3.25 0.19525 0.7715 1.547875 -3.22725 1.591875 1.68292857142857 1.017 1.0105 0.3164 -0.226125 -2.963125 2.2445 1.6512 7.105125 2.213 1.23833333333333 1.118 2.96925 0.3471 0.5815 -1.25014285714286 -0.472833333333333 1.7834 -0.3555 -0.6485 -0.22625 0.190125
